FOOTBALL_DATA;SQUAWKA;TRANSFERMARKT;UNDERSTAT
Aachen;Alem. Aachen;Alem. Aachen;
Aalen;VfR Aalen;VfR Aalen;
Ahlen;LR Ahlen;LR Ahlen;
Ahlen;Rot Weiss Ahlen;Rot Weiss Ahlen;
Ajaccio GFCO;GFC Ajaccio;GFC Ajaccio;GFC Ajaccio
Ajaccio;AC Ajaccio;AC Ajaccio;
Alaves;Dep. Alavés;Dep. Alavés;Alaves
Almeria;UD Almería;UD Almería;Almeria
Amiens;SC Amiens;SC Amiens;Amiens
Angers;SCO Angers;SCO Angers;Angers
Arles;AC Arles;AC Arles;
Arsenal;FC Arsenal;FC Arsenal;Arsenal
Ascoli;Ascoli;Ascoli;
Aston Villa;Aston Villa;Aston Villa;Aston Villa
Atalanta;Atal. Bergamo;Atal. Bergamo;Atalanta
Ath Bilbao;Athletic Bilbao;Athletic Bilbao;Athletic Club
Ath Madrid;Atlético Madrid;Atlético Madrid;Atletico Madrid
Augsburg;Augsburg;FC Augsburg;Augsburg
Auxerre;AJ Auxerre;AJ Auxerre;
Barcelona;FC Barcelona;FC Barcelona;Barcelona
Bari;Bari;Bari;
Bastia;SC Bastia;SC Bastia;SC Bastia
Bayern Munich;Bayern;Bayern München;Bayern Munich
Benevento;Benevento;Benevento;Benevento
Betis;Betis Sevilla;Betis Sevilla;Real Betis
Bielefeld;Arm. Bielefeld;Arm. Bielefeld;
Birmingham;Birmingham City;Birmingham City;
Blackburn;Blackburn Rov.;Blackburn Rov.;
Blackpool;Blackpool;Blackpool;
Bochum;VfL Bochum;VfL Bochum;
Bologna;FC Bologna;FC Bologna;Bologna
Bolton;Bolton Wand.;Bolton Wand.;
Bordeaux;G. Bordeaux;G. Bordeaux;Bordeaux
Boulogne;US Boulogne;US Boulogne;
Bournemouth;Bournemouth;Bournemouth;Bournemouth
Braunschweig;E. Braunschweig;E. Braunschweig;
Brescia;Brescia;Brescia Calcio;Brescia
Brest;Stade Brest 29;Stade Brest 29;Brest
Brighton;Brighton & Hove;Brighton & Hove;Brighton
Burghausen;W. Burghausen;W. Burghausen;
Burnley;FC Burnley;FC Burnley;Burnley
CZ Jena;Carl Zeiss Jena;Carl Zeiss Jena;
Cadiz;FC Cadiz;FC Cadiz;
Caen;SM Caen;SM Caen;Caen
Cagliari;Cagliari Calcio;Cagliari Calcio;Cagliari
Cardiff;Cardiff City;Cardiff City;Cardiff
Carpi;Carpi;Carpi;Carpi
Catania;Catania Calcio;Catania Calcio;
Celta;Celta Vigo;Celta Vigo;Celta Vigo
Cesena;Cesena;Cesena;Cesena
Charlton;Charlton Athl.;Charlton Athl.;
Chelsea;FC Chelsea;FC Chelsea;Chelsea
Chievo;Chievo Verona;Chievo Verona;Chievo
Cordoba;FC Córdoba;FC Córdoba;Cordoba
Cottbus;Energie Cottbus;Energie Cottbus;
Crotone;FC Crotone;FC Crotone;Crotone
Crystal Palace;Crystal Palace;Crystal Palace;Crystal Palace
Darmstadt;SV Darmstadt 98;SV Darmstadt 98;Darmstadt
Derby;Derby County;Derby County;
Dijon;FCO Dijon;FCO Dijon;Dijon
Dortmund;Dortmund;Bor. Dortmund;Borussia Dortmund
Dresden;Dynamo Dresden;Dynamo Dresden;
Duisburg;MSV Duisburg;MSV Duisburg;
Eibar;SD Eibar;SD Eibar;Eibar
Ein Frankfurt;Frankfurt;E. Frankfurt;Eintracht Frankfurt
Elche;FC Elche;FC Elche;Elche
Empoli;FC Empoli;FC Empoli;Empoli
Erzgebirge Aue;Erzgebirge Aue;Erzgebirge Aue;
Espanol;Esp. Barcelona;Esp. Barcelona;Espanyol
Essen;RW Essen;RW Essen;
Everton;FC Everton;FC Everton;Everton
Evian Thonon Gaillard;FC Évian;FC Évian;Evian Thonon Gaillard
FC Koln;1.FC Köln;1.FC Köln;FC Cologne
Fiorentina;AC Florenz;AC Florenz;Fiorentina
Fortuna Dusseldorf;Fortuna Düsseldorf;F. Düsseldorf;Fortuna Duesseldorf
Frankfurt FSV;FSV Frankfurt;FSV Frankfurt;
Freiburg;Freiburg;SC Freiburg;Freiburg
Frosinone;Frosinone Calc.;Frosinone Calc.;Frosinone
Fulham;FC Fulham;FC Fulham;Fulham
Genoa;FC Genua;FC Genua;Genoa
Getafe;FC Getafe;FC Getafe;Getafe
Gimnastic;Gimnàstic;Gimnàstic;
Girona;FC Girona;FC Girona;Girona
Granada;FC Granada;FC Granada;Granada
Grenoble;Grenoble;Grenoble;
Greuther Furth;Greuther Fürth;Greuther Fürth;
Guingamp;EA Guingamp;EA Guingamp;Guingamp
Hamburg;Hamburg;Hamburger SV;Hamburger SV
Hannover;Hannover;Hannover 96;Hannover 96
Hansa Rostock;Hansa Rostock;Hansa Rostock;
Heidenheim;1.FC Heidenheim;1.FC Heidenheim;
Hercules;Hércules;Hércules;
Hertha;Hertha BSC;Hertha BSC;Hertha Berlin
Hoffenheim;Hoffenheim;TSG Hoffenheim;Hoffenheim
Holstein Kiel;Holstein Kiel;Holstein Kiel;
Huddersfield;Huddersfield;Huddersfield;Huddersfield
Huesca;SD Huesca;SD Huesca;SD Huesca
Hull;Hull City;Hull City;Hull
Ingolstadt;FC Ingolstadt;FC Ingolstadt;Ingolstadt
Inter;Inter Mailand;Inter Mailand;Inter
Inter;Inter;Inter;Inter
Juventus;Juventus Turin;Juventus Turin;Juventus
Kaiserslautern;1.FC K'lautern;1.FC K'lautern;
Karlsruhe;Karlsruher SC;Karlsruher SC;
Koblenz;TuS Koblenz;TuS Koblenz;
La Coruna;Dep. La Coruna;Dep. La Coruna;Deportivo La Coruna
Las Palmas;UD Las Palmas;UD Las Palmas;Las Palmas
Lazio;Lazio Rom;Lazio Rom;Lazio
Le Havre;AC Le Havre;AC Le Havre;
Le Mans;Le Mans UC 72;Le Mans UC 72;
Lecce;US Lecce;US Lecce;Lecce
Leganes;CD Leganés;CD Leganés;Leganes
Leicester;Leicester City;Leicester City;Leicester
Lens;RC Lens;RC Lens;Lens
Levante;UD Levante;UD Levante;Levante
Leverkusen;Leverkusen;Bay. Leverkusen;Bayer Leverkusen
Lille;LOSC Lille;LOSC Lille;Lille
Liverpool;FC Liverpool;FC Liverpool;Liverpool
Livorno;AS Livorno;AS Livorno;
Lorient;FC Lorient;FC Lorient;Lorient
Lyon;Olympique Lyon;Olympique Lyon;Lyon
M'gladbach;M'gladbach;Bor. M'gladbach;Borussia M.Gladbach
Magdeburg;1.FC Magdeburg;1.FC Magdeburg;
Mainz;Mainz;1.FSV Mainz 05;Mainz 05
Malaga;FC Málaga;FC Málaga;Malaga
Mallorca;RCD Mallorca;RCD Mallorca;Mallorca
Man City;Manchester City;Manchester City;Manchester City
Man United;Manchester Utd.;Manchester Utd.;Manchester United
Marseille;Ol. Marseille;Ol. Marseille;Marseille
Messina;Messina Peloro;Messina Peloro;
Metz;FC Metz;FC Metz;Metz
Middlesbrough;Middlesbrough;Middlesbrough;Middlesbrough
Milan;AC Mailand;AC Mailand;AC Milan
Monaco;AS Monaco;AS Monaco;Monaco
Montpellier;HSC Montpellier;HSC Montpellier;Montpellier
Munich 1860;1860 München;1860 München;
Murcia;Real Murcia;Real Murcia;
Nancy;AS Nancy;AS Nancy;Nancy
Nantes;FC Nantes;FC Nantes;Nantes
Napoli;SSC Neapel;SSC Neapel;Napoli
